"","igae","ipc","ifb","cetes","epu","mon","fis","com","reg"
"203"," 89.4247","30957.11"," 88.00"," 4.51"," 3.5383926","1.33643733","1.25316440","0.52633763","0.42245326"
"204"," 89.6364","32120.47"," 93.65"," 4.50"," 3.0894345","0.73746569","1.33505602","0.39966387","0.61724896"
"205"," 89.8111","30391.61"," 90.46"," 4.49"," 3.4426747","0.70711801","1.01082190","0.65871412","1.06602066"
"206"," 90.0311","31634.54"," 83.50"," 4.49"," 3.2484591","1.41444235","1.30852143","0.46797450","0.05752085"
"207"," 91.2525","33266.43"," 91.16"," 4.45"," 2.3201278","0.79899929","1.14288769","0.22077069","0.15747017"
"208"," 91.3675","32687.32"," 91.14"," 4.44"," 4.9115656","1.76525515","1.69850931","0.73759545","0.71020569"
"209"," 91.4683","32038.53"," 89.03"," 4.52"," 6.4374344","2.28995258","2.45634413","0.99466276","0.69647496"
"210"," 91.4834","31156.97"," 90.41"," 4.59"," 5.0199308","2.40341643","1.52196947","0.81682854","0.27771637"
"211"," 91.8320","32308.74"," 90.05"," 4.60"," 4.2495499","1.59306770","1.75051440","0.84620272","0.05976503"
"212"," 92.0048","31679.85"," 89.47"," 4.52"," 4.0425089","1.77328971","1.19920521","0.80534915","0.26466479"
"213"," 92.4345","33330.34"," 91.23"," 4.43"," 4.9590104","1.44984609","2.06218375","0.59281781","0.85416277"
"214"," 92.4408","35568.22"," 96.23"," 4.03"," 5.3174920","1.70762541","1.75991495","0.65603664","1.19391504"
"215"," 92.6014","36817.32"," 95.57"," 3.97"," 4.3151419","1.59693318","1.76066796","0.69540034","0.26214038"
"216"," 93.2437","38550.79"," 98.94"," 4.30"," 3.3314012","1.35433761","1.26964837","0.30394418","0.40347101"
"217"," 93.4008","36982.24"," 92.67"," 4.14"," 4.3169150","1.51956882","1.58399741","0.73416857","0.47918019"
"218"," 93.4800","37019.70"," 87.02"," 4.04"," 2.7297853","1.02489355","0.80798507","0.57644022","0.32046643"
"219"," 94.0715","37440.51"," 93.27"," 4.27"," 3.8556034","1.46934089","1.39879692","0.81370263","0.17376296"
"220"," 93.6166","36962.62"," 91.53"," 4.28"," 3.4081792","1.25866076","1.00433844","0.69291096","0.45226902"
"221"," 94.4872","35832.79"," 96.33"," 4.31"," 3.0606730","1.20896014","0.89728573","0.76715018","0.18727692"
"222"," 95.0833","36558.07","100.55"," 4.37"," 2.6102569","1.04632990","0.58879283","0.20867559","0.76645860"
"223"," 95.5009","35999.34"," 99.29"," 4.14"," 5.9615224","1.75704673","3.44909132","0.37295129","0.38243305"
"224"," 96.0917","35721.10","101.40"," 4.05","13.3472670","3.37075645","7.58697485","1.22852372","1.16101193"
"225"," 96.1835","33503.28"," 98.51"," 4.23","10.3513607","3.68558148","4.25625853","1.56006895","0.84945178"
"226"," 96.2026","36159.99","104.09"," 4.36"," 6.2209300","1.92860182","2.94246959","0.82874936","0.52110918"
"227"," 97.1180","36829.15","108.51"," 4.35"," 8.0575382","2.16483291","3.88648271","1.11063434","0.89558819"
"228"," 96.8098","37077.52","110.12"," 4.34","11.1739637","3.48929921","5.82304229","1.36335357","0.49826859"
"229"," 97.3125","37422.68"," 98.55"," 4.27","12.0272152","4.27985451","4.96302852","1.49912435","1.28520785"
"230"," 97.6794","37816.69"," 98.42"," 4.32","10.6181993","3.67406224","5.12985298","1.23794434","0.57633971"
